filename,image_path,label_path_xml,label_path,image_size,bbox_count,tables
00001.PNG,data/images/00001.PNG,data/labels/00001.xml,data/labels/00001.txt,"<PandasArray>
[1126, 1596, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '15'), ('ymin', '442'), ('xmax', '1095'), ('ymax', '1467')]))])]
Length: 1, dtype: object"
00005.PNG,data/images/00005.PNG,data/labels/00005.xml,data/labels/00005.txt,"<PandasArray>
[1063, 844, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '327'), ('ymin', '543'), ('xmax', '904'), ('ymax', '834')]))])]
Length: 1, dtype: object"
00006.PNG,data/images/00006.PNG,data/labels/00006.xml,data/labels/00006.txt,"<PandasArray>
[682, 845, 3]
Length: 3, dtype: int32",5,"<PandasArray>
[  OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '18'), ('ymin', '56'), ('xmax', '267'), ('ymax', '256')]))]),
 OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '331'), ('ymin', '111'), ('xmax', '572'), ('ymax', '251')]))]),
  OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '15'), ('ymin', '269'), ('xmax', '357'), ('ymax', '425')]))]),
  OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '19'), ('ymin', '441'), ('xmax', '662'), ('ymax', '587')]))]),
  OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '16'), ('ymin', '603'), ('xmax', '662'), ('ymax', '818')]))])]
Length: 5, dtype: object"
00008.PNG,data/images/00008.PNG,data/labels/00008.xml,data/labels/00008.txt,"<PandasArray>
[425, 550, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '112'), ('ymin', '184'), ('xmax', '398'), ('ymax', '403')]))])]
Length: 1, dtype: object"
00009.PNG,data/images/00009.PNG,data/labels/00009.xml,data/labels/00009.txt,"<PandasArray>
[301, 241, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '9'), ('ymin', '147'), ('xmax', '288'), ('ymax', '208')]))])]
Length: 1, dtype: object"
00010.PNG,data/images/00010.PNG,data/labels/00010.xml,data/labels/00010.txt,"<PandasArray>
[518, 703, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '29'), ('ymin', '242'), ('xmax', '314'), ('ymax', '467')]))])]
Length: 1, dtype: object"
00011.PNG,data/images/00011.PNG,data/labels/00011.xml,data/labels/00011.txt,"<PandasArray>
[750, 1061, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '56'), ('ymin', '336'), ('xmax', '702'), ('ymax', '609')]))])]
Length: 1, dtype: object"
00012.PNG,data/images/00012.PNG,data/labels/00012.xml,data/labels/00012.txt,"<PandasArray>
[620, 800, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '46'), ('ymin', '408'), ('xmax', '578'), ('ymax', '539')]))])]
Length: 1, dtype: object"
00013.PNG,data/images/00013.PNG,data/labels/00013.xml,data/labels/00013.txt,"<PandasArray>
[750, 1061, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '51'), ('ymin', '373'), ('xmax', '693'), ('ymax', '612')]))])]
Length: 1, dtype: object"
00014.PNG,data/images/00014.PNG,data/labels/00014.xml,data/labels/00014.txt,"<PandasArray>
[478, 620, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '36'), ('ymin', '205'), ('xmax', '441'), ('ymax', '454')]))])]
Length: 1, dtype: object"
00015.PNG,data/images/00015.PNG,data/labels/00015.xml,data/labels/00015.txt,"<PandasArray>
[1052, 908, 3]
Length: 3, dtype: int32",1,"<PandasArray>
[OrderedDict([('name', 'Table'), ('pose', 'Unspecified'), ('truncated', '0'), ('difficult', '0'), ('bndbox', OrderedDict([('xmin', '44'), ('ymin', '531'), ('xmax', '985'), ('ymax', '791')]))])]
Length: 1, dtype: object"
